library_name,github_repo,stars,usage_count,model_ids,imported_entities
MeCab,,,4,"TKU410410103/wav2vec2-base-japanese-asr, TKU410410103/hubert-base-japanese-asr, TKU410410103/hubert-large-japanese-asr, TKU410410103/uniTKU-hubert-japanese-asr",TKU410410103/wav2vec2-base-japanese-asr: MeCab; TKU410410103/hubert-base-japanese-asr: MeCab; TKU410410103/hubert-large-japanese-asr: MeCab; TKU410410103/uniTKU-hubert-japanese-asr: MeCab
PyPDF2,,,4,"wenbopan/Faro-Yi-9B-DPO, wenbopan/Faro-Yi-9B, wenbopan/Faro-Yi-34B, wenbopan/Faro-Yi-34B-DPO",wenbopan/Faro-Yi-9B-DPO: PyPDF2.PdfReader; wenbopan/Faro-Yi-9B: PyPDF2.PdfReader; wenbopan/Faro-Yi-34B: PyPDF2.PdfReader; wenbopan/Faro-Yi-34B-DPO: PyPDF2.PdfReader
TTS,,,2,"coqui/XTTS-v2, coqui/XTTS-v1",coqui/XTTS-v2: TTS.api.TTS; coqui/XTTS-v2: TTS.tts.configs.xtts_config.XttsConfig; coqui/XTTS-v2: TTS.tts.models.xtts.Xtts; coqui/XTTS-v1: TTS.api.TTS; coqui/XTTS-v1: TTS.tts.configs.xtts_config.XttsConfig; coqui/XTTS-v1: TTS.tts.models.xtts.Xtts
accelerate,,,5,"THUDM/cogvlm-chat-hf, AC/MiniLM-L12-H384-uncased_Nvidia-Aegis-AI-Safety, sayakpaul/FLUX.1-merged, abhinavkulkarni/codellama-CodeLlama-7b-Python-hf-w4-g128-awq, yujiepan/llama-3-tiny-random",THUDM/cogvlm-chat-hf: accelerate.init_empty_weights; THUDM/cogvlm-chat-hf: accelerate.infer_auto_device_map; THUDM/cogvlm-chat-hf: accelerate.load_checkpoint_and_dispatch; AC/MiniLM-L12-H384-uncased_Nvidia-Aegis-AI-Safety: accelerate.Accelerator; AC/MiniLM-L12-H384-uncased_Nvidia-Aegis-AI-Safety: accelerate.Accelerator; sayakpaul/FLUX.1-merged: accelerate.init_empty_weights; abhinavkulkarni/codellama-CodeLlama-7b-Python-hf-w4-g128-awq: accelerate.init_empty_weights; abhinavkulkarni/codellama-CodeLlama-7b-Python-hf-w4-g128-awq: accelerate.load_checkpoint_and_dispatch; yujiepan/llama-3-tiny-random: accelerate
adapters,,,3,"allenai/specter2_aug2023refresh_base, allenai/specter2_base, allenai/specter2",allenai/specter2_aug2023refresh_base: adapters.AutoAdapterModel; allenai/specter2_base: adapters.AutoAdapterModel; allenai/specter2: adapters.AutoAdapterModel; allenai/specter2: adapters.AutoAdapterModel
angle_emb,,,5,"WhereIsAI/UAE-Large-V1, SeanLee97/angle-llama-7b-nli-20231027, SeanLee97/angle-llama-7b-nli-v2, mixedbread-ai/mxbai-embed-2d-large-v1, SeanLee97/angle-bert-base-uncased-nli-en-v1",WhereIsAI/UAE-Large-V1: angle_emb.AnglE; WhereIsAI/UAE-Large-V1: angle_emb.utils.cosine_similarity; WhereIsAI/UAE-Large-V1: angle_emb.AnglE; WhereIsAI/UAE-Large-V1: angle_emb.Prompts; WhereIsAI/UAE-Large-V1: angle_emb.utils.cosine_similarity; WhereIsAI/UAE-Large-V1: angle_emb.Prompts; SeanLee97/angle-llama-7b-nli-20231027: angle_emb.AnglE; SeanLee97/angle-llama-7b-nli-v2: angle_emb.AnglE; SeanLee97/angle-llama-7b-nli-v2: angle_emb.Prompts; mixedbread-ai/mxbai-embed-2d-large-v1: angle_emb.AnglE; SeanLee97/angle-bert-base-uncased-nli-en-v1: angle_emb.AnglE
arabert,,,5,"aubmindlab/bert-base-arabertv02-twitter, aubmindlab/aragpt2-base, aubmindlab/aragpt2-medium, aubmindlab/bert-large-arabertv02, moha/arabert_c19",aubmindlab/bert-base-arabertv02-twitter: arabert.preprocess.ArabertPreprocessor; aubmindlab/aragpt2-base: arabert.aragpt2.grover.modeling_gpt2.GPT2LMHeadModel; aubmindlab/aragpt2-base: arabert.preprocess.ArabertPreprocessor; aubmindlab/aragpt2-medium: arabert.aragpt2.grover.modeling_gpt2.GPT2LMHeadModel; aubmindlab/aragpt2-medium: arabert.preprocess.ArabertPreprocessor; aubmindlab/bert-large-arabertv02: arabert.preprocess.ArabertPreprocessor; moha/arabert_c19: arabert.preprocess.ArabertPreprocessor
argparse,,,7,"THUDM/cogagent-chat-hf, aspire/acge_text_embedding, THUDM/cogvlm2-llama3-caption, Harveenchadha/vakyansh-wav2vec2-tamil-tam-250, KevSun/Personality_LM, NVEagle/Eagle-X5-13B-Chat, NVEagle/Eagle-X5-7B",THUDM/cogagent-chat-hf: argparse; aspire/acge_text_embedding: argparse; THUDM/cogvlm2-llama3-caption: argparse; Harveenchadha/vakyansh-wav2vec2-tamil-tam-250: argparse; KevSun/Personality_LM: argparse; NVEagle/Eagle-X5-13B-Chat: argparse; NVEagle/Eagle-X5-7B: argparse
attention_sinks,,,1,NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2,NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2: attention_sinks.AutoModelForCausalLM
audiocraft,,,8,"facebook/musicgen-small, facebook/musicgen-melody, facebook/audiogen-medium, facebook/musicgen-large, facebook/musicgen-stereo-small, facebook/musicgen-medium, facebook/musicgen-stereo-large, facebook/magnet-small-10secs",facebook/musicgen-small: audiocraft.models.MusicGen; facebook/musicgen-small: audiocraft.data.audio.audio_write; facebook/musicgen-melody: audiocraft.models.MusicGen; facebook/musicgen-melody: audiocraft.data.audio.audio_write; facebook/audiogen-medium: audiocraft.models.AudioGen; facebook/audiogen-medium: audiocraft.data.audio.audio_write; facebook/musicgen-large: audiocraft.models.MusicGen; facebook/musicgen-large: audiocraft.data.audio.audio_write; facebook/musicgen-stereo-small: audiocraft.models.MusicGen; facebook/musicgen-stereo-small: audiocraft.data.audio.audio_write; facebook/musicgen-medium: audiocraft.models.MusicGen; facebook/musicgen-medium: audiocraft.data.audio.audio_write; facebook/musicgen-stereo-large: audiocraft.models.MusicGen; facebook/musicgen-stereo-large: audiocraft.data.audio.audio_write; facebook/magnet-small-10secs: audiocraft.models.MAGNeT; facebook/magnet-small-10secs: audiocraft.data.audio.audio_write
aura_sr,,,2,"fal/AuraSR-v2, fal/AuraSR",fal/AuraSR-v2: aura_sr.AuraSR; fal/AuraSR: aura_sr.AuraSR
auto_fp8,,,3,"neuralmagic/Meta-Llama-3-8B-Instruct-FP8-KV, neuralmagic/Meta-Llama-3-70B-Instruct-FP8, neuralmagic/gemma-2-9b-it-FP8",neuralmagic/Meta-Llama-3-8B-Instruct-FP8-KV: auto_fp8.AutoFP8ForCausalLM; neuralmagic/Meta-Llama-3-8B-Instruct-FP8-KV: auto_fp8.BaseQuantizeConfig; neuralmagic/Meta-Llama-3-70B-Instruct-FP8: auto_fp8.AutoFP8ForCausalLM; neuralmagic/Meta-Llama-3-70B-Instruct-FP8: auto_fp8.BaseQuantizeConfig; neuralmagic/gemma-2-9b-it-FP8: auto_fp8.AutoFP8ForCausalLM; neuralmagic/gemma-2-9b-it-FP8: auto_fp8.BaseQuantizeConfig
auto_gptq,,,6,"hugging-quants/Meta-Llama-3.1-8B-Instruct-GPTQ-INT4, neuralmagic/Meta-Llama-3-70B-Instruct-quantized.w4a16, hugging-quants/Meta-Llama-3.1-70B-Instruct-GPTQ-INT4, neuralmagic/Meta-Llama-3.1-8B-Instruct-quantized.w4a16, internlm/internlm-xcomposer2-vl-7b-4bit, hugging-quants/Meta-Llama-3.1-405B-Instruct-GPTQ-INT4",hugging-quants/Meta-Llama-3.1-8B-Instruct-GPTQ-INT4: auto_gptq.AutoGPTQForCausalLM; hugging-quants/Meta-Llama-3.1-8B-Instruct-GPTQ-INT4: auto_gptq.AutoGPTQForCausalLM; hugging-quants/Meta-Llama-3.1-8B-Instruct-GPTQ-INT4: auto_gptq.BaseQuantizeConfig; neuralmagic/Meta-Llama-3-70B-Instruct-quantized.w4a16: auto_gptq.AutoGPTQForCausalLM; neuralmagic/Meta-Llama-3-70B-Instruct-quantized.w4a16: auto_gptq.BaseQuantizeConfig; hugging-quants/Meta-Llama-3.1-70B-Instruct-GPTQ-INT4: auto_gptq.AutoGPTQForCausalLM; hugging-quants/Meta-Llama-3.1-70B-Instruct-GPTQ-INT4: auto_gptq.AutoGPTQForCausalLM; hugging-quants/Meta-Llama-3.1-70B-Instruct-GPTQ-INT4: auto_gptq.BaseQuantizeConfig; neuralmagic/Meta-Llama-3.1-8B-Instruct-quantized.w4a16: auto_gptq.AutoGPTQForCausalLM; neuralmagic/Meta-Llama-3.1-8B-Instruct-quantized.w4a16: auto_gptq.BaseQuantizeConfig; internlm/internlm-xcomposer2-vl-7b-4bit: auto_gptq; internlm/internlm-xcomposer2-vl-7b-4bit: auto_gptq.modeling.BaseGPTQForCausalLM; hugging-quants/Meta-Llama-3.1-405B-Instruct-GPTQ-INT4: auto_gptq.AutoGPTQForCausalLM; hugging-quants/Meta-Llama-3.1-405B-Instruct-GPTQ-INT4: auto_gptq.AutoGPTQForCausalLM; hugging-quants/Meta-Llama-3.1-405B-Instruct-GPTQ-INT4: auto_gptq.BaseQuantizeConfig
autofaiss,,,1,NbAiLab/nb-sbert-base,NbAiLab/nb-sbert-base: autofaiss.build_index
av,,,3,"llava-hf/LLaVA-NeXT-Video-7B-hf, llava-hf/LLaVA-NeXT-Video-7B-DPO-hf, llava-hf/LLaVA-NeXT-Video-7B-32K-hf",llava-hf/LLaVA-NeXT-Video-7B-hf: av; llava-hf/LLaVA-NeXT-Video-7B-DPO-hf: av; llava-hf/LLaVA-NeXT-Video-7B-32K-hf: av
awq,,,24,"hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4, TheBloke/Mistral-7B-Instruct-v0.1-AWQ, hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4, TheBloke/deepseek-coder-33B-instruct-AWQ, hugging-quants/Meta-Llama-3.1-405B-Instruct-AWQ-INT4, TheBloke/Platypus2-70B-Instruct-AWQ, TheBloke/Llama-2-7B-Chat-AWQ, TheBloke/OpenHermes-2.5-Mistral-7B-AWQ, TheBloke/deepseek-coder-6.7B-base-AWQ, TheBloke/Llama-2-13B-chat-AWQ, TheBloke/Mythalion-13B-AWQ, TheBloke/zephyr-7B-beta-AWQ, TheBloke/Mistral-7B-OpenOrca-AWQ, TheBloke/TinyLlama-1.1B-Chat-v0.3-AWQ, TheBloke/Upstage-Llama-2-70B-instruct-v2-AWQ, TheBloke/Llama-2-70B-Chat-AWQ, abhinavkulkarni/codellama-CodeLlama-7b-Python-hf-w4-g128-awq, solidrust/Meta-Llama-3.1-8B-Instruct-abliterated-AWQ, solidrust/Mistral-7B-Instruct-v0.3-AWQ, solidrust/Hermes-3-Llama-3.1-8B-AWQ, TheBloke/deepseek-coder-6.7B-instruct-AWQ, solidrust/gemma-2-9b-it-AWQ, TheBloke/WizardLM-13B-Uncensored-AWQ, NexaAIDev/Octopus-v2-gguf-awq",hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4: awq.AutoAWQForCausalLM; hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4: awq.AutoAWQForCausalLM; TheBloke/Mistral-7B-Instruct-v0.1-AWQ: awq.AutoAWQForCausalLM; hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4: awq.AutoAWQForCausalLM; hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4: awq.AutoAWQForCausalLM; TheBloke/deepseek-coder-33B-instruct-AWQ: awq.AutoAWQForCausalLM; hugging-quants/Meta-Llama-3.1-405B-Instruct-AWQ-INT4: awq.AutoAWQForCausalLM; hugging-quants/Meta-Llama-3.1-405B-Instruct-AWQ-INT4: awq.AutoAWQForCausalLM; TheBloke/Platypus2-70B-Instruct-AWQ: awq.AutoAWQForCausalLM; TheBloke/Llama-2-7B-Chat-AWQ: awq.AutoAWQForCausalLM; TheBloke/OpenHermes-2.5-Mistral-7B-AWQ: awq.AutoAWQForCausalLM; TheBloke/deepseek-coder-6.7B-base-AWQ: awq.AutoAWQForCausalLM; TheBloke/Llama-2-13B-chat-AWQ: awq.AutoAWQForCausalLM; TheBloke/Mythalion-13B-AWQ: awq.AutoAWQForCausalLM; TheBloke/zephyr-7B-beta-AWQ: awq.AutoAWQForCausalLM; TheBloke/Mistral-7B-OpenOrca-AWQ: awq.AutoAWQForCausalLM; TheBloke/TinyLlama-1.1B-Chat-v0.3-AWQ: awq.AutoAWQForCausalLM; TheBloke/Upstage-Llama-2-70B-instruct-v2-AWQ: awq.AutoAWQForCausalLM; TheBloke/Llama-2-70B-Chat-AWQ: awq.AutoAWQForCausalLM; abhinavkulkarni/codellama-CodeLlama-7b-Python-hf-w4-g128-awq: awq.quantize.quantizer.real_quantize_model_weight; solidrust/Meta-Llama-3.1-8B-Instruct-abliterated-AWQ: awq.AutoAWQForCausalLM; solidrust/Mistral-7B-Instruct-v0.3-AWQ: awq.AutoAWQForCausalLM; solidrust/Hermes-3-Llama-3.1-8B-AWQ: awq.AutoAWQForCausalLM; TheBloke/deepseek-coder-6.7B-instruct-AWQ: awq.AutoAWQForCausalLM; solidrust/gemma-2-9b-it-AWQ: awq.AutoAWQForCausalLM; TheBloke/WizardLM-13B-Uncensored-AWQ: awq.AutoAWQForCausalLM; NexaAIDev/Octopus-v2-gguf-awq: awq.AutoAWQForCausalLM
aws_requests_auth,,,1,amazon/Titan-text-embeddings-v2,amazon/Titan-text-embeddings-v2: aws_requests_auth.boto_utils.BotoAWSRequestsAuth
azure,,,4,"microsoft/Orca-2-13b, microsoft/Orca-2-7b, TheBloke/Orca-2-13B-GGUF, TheBloke/Orca-2-7B-GGUF",microsoft/Orca-2-13b: azure.ai.contentsafety.ContentSafetyClient; microsoft/Orca-2-13b: azure.core.credentials.AzureKeyCredential; microsoft/Orca-2-13b: azure.core.exceptions.HttpResponseError; microsoft/Orca-2-13b: azure.ai.contentsafety.models.AnalyzeTextOptions; microsoft/Orca-2-7b: azure.ai.contentsafety.ContentSafetyClient; microsoft/Orca-2-7b: azure.core.credentials.AzureKeyCredential; microsoft/Orca-2-7b: azure.core.exceptions.HttpResponseError; microsoft/Orca-2-7b: azure.ai.contentsafety.models.AnalyzeTextOptions; TheBloke/Orca-2-13B-GGUF: azure.ai.contentsafety.ContentSafetyClient; TheBloke/Orca-2-13B-GGUF: azure.core.credentials.AzureKeyCredential; TheBloke/Orca-2-13B-GGUF: azure.core.exceptions.HttpResponseError; TheBloke/Orca-2-13B-GGUF: azure.ai.contentsafety.models.AnalyzeTextOptions; TheBloke/Orca-2-7B-GGUF: azure.ai.contentsafety.ContentSafetyClient; TheBloke/Orca-2-7B-GGUF: azure.core.credentials.AzureKeyCredential; TheBloke/Orca-2-7B-GGUF: azure.core.exceptions.HttpResponseError; TheBloke/Orca-2-7B-GGUF: azure.ai.contentsafety.models.AnalyzeTextOptions
bark,,,3,"suno/bark, suno/bark-small, ylacombe/bark-small",suno/bark: bark.SAMPLE_RATE; suno/bark: bark.generate_audio; suno/bark: bark.preload_models; suno/bark-small: bark.SAMPLE_RATE; suno/bark-small: bark.generate_audio; suno/bark-small: bark.preload_models; ylacombe/bark-small: bark.SAMPLE_RATE; ylacombe/bark-small: bark.generate_audio; ylacombe/bark-small: bark.preload_models
beir,,,1,PM-AI/bi-encoder_msmarco_bert-base_german,PM-AI/bi-encoder_msmarco_bert-base_german: beir.datasets.data_loader.GenericDataLoader
bertopic,,,1,davanstrien/chat_topics,davanstrien/chat_topics: bertopic.BERTopic
bigvgan,,,5,"nvidia/bigvgan_v2_22khz_80band_256x, nvidia/bigvgan_v2_24khz_100band_256x, nvidia/bigvgan_base_22khz_80band, nvidia/bigvgan_v2_44khz_128band_512x, nvidia/bigvgan_v2_22khz_80band_fmax8k_256x",nvidia/bigvgan_v2_22khz_80band_256x: bigvgan; nvidia/bigvgan_v2_22khz_80band_256x: bigvgan; nvidia/bigvgan_v2_24khz_100band_256x: bigvgan; nvidia/bigvgan_v2_24khz_100band_256x: bigvgan; nvidia/bigvgan_base_22khz_80band: bigvgan; nvidia/bigvgan_base_22khz_80band: bigvgan; nvidia/bigvgan_v2_44khz_128band_512x: bigvgan; nvidia/bigvgan_v2_44khz_128band_512x: bigvgan; nvidia/bigvgan_v2_22khz_80band_fmax8k_256x: bigvgan; nvidia/bigvgan_v2_22khz_80band_fmax8k_256x: bigvgan
bitsandbytes,,,19,"NousResearch/Hermes-3-Llama-3.1-405B, NousResearch/Hermes-2-Pro-Llama-3-8B, NousResearch/Hermes-3-Llama-3.1-8B, NousResearch/Hermes-2-Pro-Llama-3-8B-GGUF, NousResearch/Hermes-2-Pro-Mistral-7B, NousResearch/Nous-Hermes-2-Mistral-7B-DPO-GGUF, NousResearch/Hermes-2-Theta-Llama-3-8B, NousResearch/Hermes-3-Llama-3.1-8B-GGUF, NousResearch/Hermes-2-Pro-Mistral-7B-GGUF, NousResearch/Hermes-3-Llama-3.1-70B, NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO, NousResearch/Nous-Hermes-2-Mistral-7B-DPO, NousResearch/Hermes-2-Theta-Llama-3-8B-GGUF, NousResearch/Hermes-3-Llama-3.1-70B-GGUF, NousResearch/Hermes-3-Llama-3.1-405B-FP8, NousResearch/Hermes-3-Llama-3.1-70B-FP8, NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF, TheBloke/Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF, TheBloke/Nous-Hermes-2-Mixtral-8x7B-SFT-GGUF",NousResearch/Hermes-3-Llama-3.1-405B: bitsandbytes; NousResearch/Hermes-2-Pro-Llama-3-8B: bitsandbytes; NousResearch/Hermes-3-Llama-3.1-8B: bitsandbytes; NousResearch/Hermes-2-Pro-Llama-3-8B-GGUF: bitsandbytes; NousResearch/Hermes-2-Pro-Mistral-7B: bitsandbytes; NousResearch/Nous-Hermes-2-Mistral-7B-DPO-GGUF: bitsandbytes; NousResearch/Hermes-2-Theta-Llama-3-8B: bitsandbytes; NousResearch/Hermes-3-Llama-3.1-8B-GGUF: bitsandbytes; NousResearch/Hermes-2-Pro-Mistral-7B-GGUF: bitsandbytes; NousResearch/Hermes-3-Llama-3.1-70B: bitsandbytes; NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO: bitsandbytes; NousResearch/Nous-Hermes-2-Mistral-7B-DPO: bitsandbytes; NousResearch/Hermes-2-Theta-Llama-3-8B-GGUF: bitsandbytes; NousResearch/Hermes-3-Llama-3.1-70B-GGUF: bitsandbytes; NousResearch/Hermes-3-Llama-3.1-405B-FP8: bitsandbytes; NousResearch/Hermes-3-Llama-3.1-70B-FP8: bitsandbytes; NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF: bitsandbytes; TheBloke/Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF: bitsandbytes; TheBloke/Nous-Hermes-2-Mixtral-8x7B-SFT-GGUF: bitsandbytes
