library_name,github_repo,stars,usage_count,model_ids
auto_fp8,,,8,"neuralmagic/Meta-Llama-3-8B-Instruct-FP8-KV, neuralmagic/Meta-Llama-3-8B-Instruct-FP8, neuralmagic/DeepSeek-Coder-V2-Instruct-FP8, neuralmagic/Mistral-Nemo-Instruct-2407-FP8, neuralmagic/DeepSeek-Coder-V2-Lite-Instruct-FP8, neuralmagic/Meta-Llama-3-70B-Instruct-FP8, neuralmagic/Mixtral-8x7B-Instruct-v0.1-FP8, neuralmagic/Qwen2-72B-Instruct-FP8"
auto_gptq,,,6,"hugging-quants/Meta-Llama-3.1-8B-Instruct-GPTQ-INT4, neuralmagic/Meta-Llama-3-70B-Instruct-quantized.w4a16, hugging-quants/Meta-Llama-3.1-70B-Instruct-GPTQ-INT4, neuralmagic/Meta-Llama-3.1-8B-Instruct-quantized.w4a16, internlm/internlm-xcomposer2-vl-7b-4bit, hugging-quants/Meta-Llama-3.1-405B-Instruct-GPTQ-INT4"
autofaiss,,,1,NbAiLab/nb-sbert-base
av,,,4,"llava-hf/LLaVA-NeXT-Video-7B-hf, LanguageBind/Video-LLaVA-7B-hf, llava-hf/LLaVA-NeXT-Video-7B-DPO-hf, llava-hf/LLaVA-NeXT-Video-7B-32K-hf"
awq,,,24,"hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4, TheBloke/Mistral-7B-Instruct-v0.1-AWQ, hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4, TheBloke/deepseek-coder-33B-instruct-AWQ, hugging-quants/Meta-Llama-3.1-405B-Instruct-AWQ-INT4, TheBloke/Platypus2-70B-Instruct-AWQ, TheBloke/Llama-2-7B-Chat-AWQ, TheBloke/OpenHermes-2.5-Mistral-7B-AWQ, TheBloke/deepseek-coder-6.7B-base-AWQ, TheBloke/Mythalion-13B-AWQ, TheBloke/Llama-2-13B-chat-AWQ, TheBloke/zephyr-7B-beta-AWQ, TheBloke/Mistral-7B-OpenOrca-AWQ, TheBloke/TinyLlama-1.1B-Chat-v0.3-AWQ, TheBloke/Upstage-Llama-2-70B-instruct-v2-AWQ, TheBloke/Llama-2-70B-Chat-AWQ, abhinavkulkarni/codellama-CodeLlama-7b-Python-hf-w4-g128-awq, solidrust/Meta-Llama-3.1-8B-Instruct-abliterated-AWQ, solidrust/Mistral-7B-Instruct-v0.3-AWQ, TheBloke/deepseek-coder-6.7B-instruct-AWQ, solidrust/Hermes-3-Llama-3.1-8B-AWQ, solidrust/gemma-2-9b-it-AWQ, TheBloke/WizardLM-13B-Uncensored-AWQ, NexaAIDev/Octopus-v2-gguf-awq"
aws_requests_auth,,,1,amazon/Titan-text-embeddings-v2
azure,,,4,"microsoft/Orca-2-13b, microsoft/Orca-2-7b, TheBloke/Orca-2-13B-GGUF, TheBloke/Orca-2-7B-GGUF"
bark,,,3,"suno/bark, suno/bark-small, ylacombe/bark-small"
beir,,,1,PM-AI/bi-encoder_msmarco_bert-base_german
bertopic,,,1,davanstrien/chat_topics
bigvgan,,,5,"nvidia/bigvgan_v2_22khz_80band_256x, nvidia/bigvgan_v2_24khz_100band_256x, nvidia/bigvgan_base_22khz_80band, nvidia/bigvgan_v2_44khz_128band_512x, nvidia/bigvgan_v2_22khz_80band_fmax8k_256x"
bitsandbytes,,,19,"NousResearch/Hermes-2-Pro-Llama-3-8B, NousResearch/Hermes-3-Llama-3.1-405B, NousResearch/Hermes-3-Llama-3.1-8B, NousResearch/Hermes-2-Pro-Llama-3-8B-GGUF, NousResearch/Hermes-2-Pro-Mistral-7B, NousResearch/Nous-Hermes-2-Mistral-7B-DPO-GGUF, NousResearch/Hermes-2-Theta-Llama-3-8B, NousResearch/Hermes-3-Llama-3.1-8B-GGUF, NousResearch/Hermes-2-Pro-Mistral-7B-GGUF, NousResearch/Hermes-3-Llama-3.1-70B, NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO, NousResearch/Nous-Hermes-2-Mistral-7B-DPO, NousResearch/Hermes-2-Theta-Llama-3-8B-GGUF, NousResearch/Hermes-3-Llama-3.1-70B-GGUF, NousResearch/Hermes-3-Llama-3.1-405B-FP8, NousResearch/Hermes-3-Llama-3.1-70B-FP8, NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF, TheBloke/Nous-Hermes-2-Mixtral-8x7B-DPO-GGUF, TheBloke/Nous-Hermes-2-Mixtral-8x7B-SFT-GGUF"
bleurt_pytorch,,,2,"lucadiliello/BLEURT-20-D12, lucadiliello/BLEURT-20"
boto3,,,2,"Dongjin-kr/ko-reranker, amazon/Titan-text-embeddings-v2"
cartesia_pytorch,,,1,cartesia-ai/Rene-v0.1-1.3b-pytorch
chemicalconverters,,,1,knowledgator/IUPAC2SMILES-canonical-base
chronos,,,10,"amazon/chronos-t5-tiny, autogluon/chronos-t5-tiny, amazon/chronos-t5-small, amazon/chronos-t5-large, autogluon/chronos-t5-base, autogluon/chronos-t5-small, amazon/chronos-t5-mini, autogluon/chronos-t5-large, autogluon/chronos-t5-mini, amazon/chronos-t5-base"
cli,,,1,FreedomIntelligence/HuatuoGPT-Vision-7B
clip,,,2,"M-CLIP/XLM-Roberta-Large-Vit-B-32, M-CLIP/XLM-Roberta-Large-Vit-L-14"
cog_sdxl,,,2,"SvenN/sdxl-emoji, fofr/sdxl-2004"
colbert,,,6,"colbert-ir/colbertv2.0, answerdotai/answerai-colbert-small-v1, jinaai/jina-colbert-v2, jinaai/jina-colbert-v1-en, antoinelouis/colbertv2-camembert-L4-mmarcoFR, antoinelouis/colbert-xm"
colorama,,,1,KoboldAI/LLaMA2-13B-Holomax
colorful,,,1,ToddGoldfarb/Cadet-Tiny
colpali_engine,,,2,"vidore/colpali-v1.2, vidore/colpali"
conch,,,1,MahmoodLab/CONCH
conette,,,1,Labbeti/conette
config,,,4,"BK-Lee/TroL-1.8B, BK-Lee/TroL-7B, BK-Lee/Meteor-Mamba, BK-Lee/Meteor-MLM"
controlnet_aux,,,26,"tianweiy/DMD2, lllyasviel/control_v11e_sd15_shuffle, lllyasviel/control_v11p_sd15_openpose, lllyasviel/control_v11p_sd15_softedge, ControlNet-1-1-preview/control_v11p_sd15_lineart, thibaud/controlnet-openpose-sdxl-1.0, xinsir/controlnet-openpose-sdxl-1.0, lllyasviel/sd-controlnet-mlsd, lllyasviel/control_v11p_sd15_lineart, TencentARC/t2i-adapter-sketch-sdxl-1.0, xinsir/controlnet-depth-sdxl-1.0, lllyasviel/control_v11p_sd15_mlsd, xinsir/controlnet-scribble-sdxl-1.0, TencentARC/t2i-adapter-lineart-sdxl-1.0, TencentARC/t2i-adapter-canny-sdxl-1.0, lllyasviel/sd-controlnet-scribble, TencentARC/t2i-adapter-depth-midas-sdxl-1.0, lllyasviel/control_v11p_sd15_scribble, lllyasviel/control_v11p_sd15_normalbae, lllyasviel/sd-controlnet-openpose, TencentARC/t2i-adapter-depth-zoe-sdxl-1.0, lllyasviel/control_v11p_sd15s2_lineart_anime, TencentARC/t2i-adapter-openpose-sdxl-1.0, TencentARC/t2iadapter_sketch_sd15v2, TencentARC/t2iadapter_depth_sd15v2, jasperai/Flux.1-dev-Controlnet-Surface-Normals"
conversation,,,2,"GeneZC/MiniChat-2-3B, GeneZC/MiniChat-3B"
copy,,,14,"lmms-lab/llava-onevision-qwen2-0.5b-ov, lmms-lab/llava-onevision-qwen2-7b-ov, lmms-lab/llava-onevision-qwen2-72b-ov-sft, lmms-lab/llava-onevision-qwen2-7b-ov-chat, lmms-lab/llava-onevision-qwen2-0.5b-si, lmms-lab/LLaVA-NeXT-Video-7B-Qwen2, lmms-lab/llava-onevision-qwen2-7b-si, lmms-lab/llava-onevision-qwen2-72b-ov-chat, lmms-lab/llava-onevision-qwen2-72b-si, gokaygokay/Florence-2-SD3-Captioner, thwri/CogFlorence-2.2-Large, thwri/CogFlorence-2.1-Large, gokaygokay/Florence-2-Flux-Large, gokaygokay/Florence-2-Flux"
csv,,,5,"cardiffnlp/twitter-roberta-base-sentiment, cardiffnlp/twitter-roberta-base-irony, cardiffnlp/twitter-roberta-base-offensive, cardiffnlp/twitter-roberta-base-emotion, cardiffnlp/twitter-roberta-base-hate"
ctc_forced_aligner,,,1,MahmoudAshraf/mms-300m-1130-forced-aligner
ctransformers,,,107,"TheBloke/Llama-2-7B-Chat-GGUF, TheBloke/Mistral-7B-Instruct-v0.1-GGUF, TheBloke/Llama-2-7B-GGUF, TheBloke/Wizard-Vicuna-30B-Uncensored-GGUF, TheBloke/Wizard-Vicuna-13B-Uncensored-GGUF, TheBloke/MythoMax-L2-13B-GGUF, TheBloke/Llama-2-13B-chat-GGUF, TheBloke/OpenHermes-2.5-Mistral-7B-GGUF, TheBloke/Wizard-Vicuna-7B-Uncensored-GGUF, TheBloke/Llama-2-70B-Chat-GGUF, TheBloke/Mistral-7B-v0.1-GGUF, TheBloke/Luna-AI-Llama2-Uncensored-GGUF, TheBloke/Mistral-7B-OpenOrca-GGUF, TheBloke/MythoMax-L2-Kimiko-v2-13B-GGUF, TheBloke/zephyr-7B-beta-GGUF, TheBloke/WizardLM-Uncensored-SuperCOT-StoryTelling-30B-GGUF, TheBloke/Chronoboros-33B-GGUF, TheBloke/WizardLM-1.0-Uncensored-Llama2-13B-GGUF, TheBloke/Phind-CodeLlama-34B-v1-GGUF, TheBloke/llama2_70b_chat_uncensored-GGUF, TheBloke/deepseek-coder-6.7B-instruct-GGUF, TheBloke/WizardLM-1.0-Uncensored-CodeLlama-34B-GGUF, TheBloke/TinyLlama-1.1B-Chat-v0.3-GGUF, TheBloke/rocket-3B-GGUF, TheBloke/Phind-CodeLlama-34B-v2-GGUF, TheBloke/WizardLM-7B-uncensored-GGUF, TheBloke/TinyLlama-1.1B-1T-OpenOrca-GGUF, TheBloke/deepseek-coder-33B-instruct-GGUF, TheBloke/CodeLlama-7B-GGUF, TheBloke/dolphin-2.2.1-mistral-7B-GGUF, TheBloke/llama2_7b_chat_uncensored-GGUF, marella/gpt-2-ggml, TheBloke/Guanaco-13B-Uncensored-GGUF, TheBloke/WizardCoder-Python-13B-V1.0-GGUF, Mozilla/WizardCoder-Python-34B-V1.0-llamafile, TheBloke/Emerhyst-20B-GGUF, TheBloke/dolphin-2.1-mistral-7B-GGUF, TheBloke/Yarn-Mistral-7B-128k-GGUF, TheBloke/CodeLlama-13B-GGUF, TheBloke/Speechless-Llama2-Hermes-Orca-Platypus-WizardLM-13B-GGUF, TheBloke/deepseek-coder-1.3b-instruct-GGUF, mzwing/NSFW_13B_sft-GGUF, TheBloke/CausalLM-7B-GGUF, TheBloke/OpenHermes-2-Mistral-7B-GGUF, TheBloke/claude2-alpaca-13B-GGUF, TheBloke/em_german_mistral_v01-GGUF, TheBloke/airoboros-l2-13B-gpt4-1.4.1-GGUF, TheBloke/OpenHermes-2.5-Mistral-7B-16k-GGUF, TheBloke/airoboros-l2-7B-gpt4-2.0-GGUF, TheBloke/airoboros-l2-13b-gpt4-m2.0-GGUF, TheBloke/Llama-2-13B-GGUF, TheBloke/airoboros-l2-70B-GPT4-2.0-GGUF, TheBloke/CodeLlama-34B-GGUF, TheBloke/WizardLM-13B-V1.2-GGUF, TheBloke/airoboros-l2-70B-gpt4-1.4.1-GGUF, TheBloke/orca_mini_v3_7B-GGUF, TheBloke/Nous-Hermes-Llama2-70B-GGUF, TheBloke/airoboros-l2-7B-gpt4-m2.0-GGUF, TheBloke/Orca-2-13B-GGUF, TheBloke/em_german_leo_mistral-GGUF, TheBloke/WizardCoder-Python-34B-V1.0-GGUF, TheBloke/dolphin-2_2-yi-34b-GGUF, TheBloke/Mistral-7B-Claude-Chat-GGUF, TheBloke/PuddleJumper-13B-GGUF, TheBloke/deepseek-coder-33B-base-GGUF, TheBloke/Nous-Capybara-34B-GGUF, TheBloke/WizardLM-30B-Uncensored-GGUF, TheBloke/CausalLM-14B-GGUF, TheBloke/airoboros-mistral2.2-7B-GGUF, Mozilla/rocket-3B-llamafile, TheBloke/Nous-Hermes-Llama2-GGUF, TheBloke/Llama-2-70B-GGUF, TheBloke/vicuna-13B-v1.5-GGUF, TheBloke/Yi-34B-Chat-GGUF, TheBloke/Llama-2-13B-German-Assistant-v4-GGUF, TheBloke/LLaMA2-13B-Tiefighter-GGUF, TheBloke/MLewd-L2-Chat-13B-GGUF, TheBloke/Chinese-Llama-2-7B-GGUF, TheBloke/deepseek-coder-6.7B-base-GGUF, TheBloke/claude2-alpaca-7B-GGUF, TheBloke/CodeBooga-34B-v0.1-GGUF, TheBloke/Xwin-LM-13B-v0.2-GGUF, TheBloke/Xwin-MLewd-13B-v0.2-GGUF, TheBloke/Llama-2-70B-Orca-200k-GGUF, TheBloke/Guanaco-7B-Uncensored-GGUF, TheBloke/openchat_3.5-GGUF, TheBloke/Hermes-Trismegistus-Mistral-7B-GGUF, TheBloke/WizardCoder-Python-7B-V1.0-GGUF, TheBloke/WizardLM-13B-Uncensored-GGUF, TheBloke/MXLewd-L2-20B-GGUF, TheBloke/Llama-2-7B-32K-Instruct-GGUF, TheBloke/Mythalion-13B-GGUF, TheBloke/dolphin-2.0-mistral-7B-GGUF, TheBloke/neural-chat-7B-v3-1-GGUF, TheBloke/zephyr-7B-alpha-GGUF, TheBloke/OpenBuddy-Llama2-13B-v11.1-GGUF, TheBloke/Orca-2-7B-GGUF, TheBloke/Phind-CodeLlama-34B-Python-v1-GGUF, TheBloke/Mistral-ClaudeLimaRP-v3-7B-GGUF, TheBloke/vicuna-7B-v1.5-GGUF, TheBloke/Spicyboros-7B-2.2-GGUF, TheBloke/em_german_7b_v01-GGUF, TheBloke/Yarn-Llama-2-13B-128K-GGUF, TheBloke/em_german_13b_v01-GGUF, TheBloke/lzlv_70B-GGUF, TheBloke/WizardLM-70B-V1.0-GGUF, TheBloke/Nous-Hermes-13B-GGUF"
custom_classifier,,,1,parneetsingh022/dog-cat-classification
cv2,,,24,"h94/IP-Adapter-FaceID, latent-consistency/lcm-lora-sdv1-5, microsoft/kosmos-2-patch14-224, ByteDance/Hyper-SD, InstantX/InstantID, latent-consistency/lcm-lora-sdxl, TheMistoAI/MistoLine, depth-anything/Depth-Anything-V2-Small, depth-anything/Depth-Anything-V2-Large, depth-anything/Depth-Anything-V2-Base, LiheYoung/depth_anything_vits14, diffusers/controlnet-canny-sdxl-1.0, lllyasviel/sd-controlnet-canny, LiheYoung/depth_anything_vitl14, magic-leap-community/superpoint, xinsir/controlnet-tile-sdxl-1.0, xinsir/controlnet-openpose-sdxl-1.0, lllyasviel/control_v11p_sd15_canny, xinsir/controlnet-canny-sdxl-1.0, LiheYoung/depth_anything_vitb14, xinsir/controlnet-depth-sdxl-1.0, foduucom/stockmarket-pattern-detection-yolov8, xinsir/controlnet-scribble-sdxl-1.0, TencentARC/t2iadapter_canny_sd15v2"
datetime,,,1,AC/MiniLM-L12-H384-uncased_Nvidia-Aegis-AI-Safety
decord,,,17,"OpenGVLab/InternVL2-1B, openbmb/MiniCPM-V-2_6, OpenGVLab/InternVL2-Llama3-76B, OpenGVLab/InternVL2-2B, OpenGVLab/InternVL2-8B, OpenGVLab/InternVL2-26B, OpenGVLab/InternVL2-40B, OpenGVLab/InternVL2-4B, lmms-lab/LLaVA-NeXT-Video-7B-Qwen2, OpenGVLab/InternVL-Chat-V1-5, lmms-lab/LongVA-7B, mPLUG/mPLUG-Owl3-7B-240728, Chat-UniVi/Chat-UniVi, lmms-lab/LongVA-7B-DPO, OpenGVLab/Mini-InternVL-Chat-2B-V1-5, THUDM/cogvlm2-llama3-caption, OpenGVLab/Mini-InternVL-Chat-4B-V1-5"
deepdoctection,,,1,deepdoctection/tatr_tab_struct_v2
deepmultilingualpunctuation,,,1,oliverguhr/fullstop-punctuation-multilang-large
deeppavlov,,,1,MonoHime/rubert-base-cased-sentiment-new
deepseek_vl,,,2,"deepseek-ai/deepseek-vl-1.3b-chat, deepseek-ai/deepseek-vl-7b-chat"
deepsparse,,,2,"neuralmagic/bge-small-en-v1.5-quant, neuralmagic/bge-base-en-v1.5-quant"
deepspeed,,,1,Snowflake/snowflake-arctic-instruct
depth_anything,,,3,"LiheYoung/depth_anything_vits14, LiheYoung/depth_anything_vitl14, LiheYoung/depth_anything_vitb14"
depth_anything_v2,,,3,"depth-anything/Depth-Anything-V2-Small, depth-anything/Depth-Anything-V2-Large, depth-anything/Depth-Anything-V2-Base"
detoxify,,,3,"unitary/toxic-bert, unitary/unbiased-toxic-roberta, unitary/multilingual-toxic-xlm-roberta"
diarizers,,,1,diarizers-community/speaker-segmentation-fine-tuned-callhome-eng
